0.3um,co2,date,time,weather_idx
873,421,2026-01-13,4.001388888888889,105
714,421,2026-01-13,4.004166666666666,105
704,421,2026-01-13,4.006944444444445,105
852,421,2026-01-13,4.009722222222222,105
969,421,2026-01-13,4.0125,105
928,421,2026-01-13,4.0152777777777775,105
833,421,2026-01-13,4.018055555555556,105
788,421,2026-01-13,4.020833333333333,105
741,421,2026-01-13,4.023611111111111,105
831,421,2026-01-13,4.026388888888889,105
890,422,2026-01-13,4.029166666666667,105
877,421,2026-01-13,4.031944444444444,105
788,421,2026-01-13,4.034722222222222,105
819,422,2026-01-13,4.0375,105
905,422,2026-01-13,4.040277777777778,105
876,422,2026-01-13,4.043055555555555,105
770,422,2026-01-13,4.045833333333333,105
989,422,2026-01-13,4.048611111111111,105
975,422,2026-01-13,4.051388888888889,105
901,422,2026-01-13,4.054166666666666,105
870,422,2026-01-13,4.0569444444444445,105
790,422,2026-01-13,4.059722222222222,105
873,422,2026-01-13,4.0625,105
891,422,2026-01-13,4.065277777777777,105
885,422,2026-01-13,4.0680555555555555,105
954,422,2026-01-13,4.070833333333333,105
851,422,2026-01-13,4.073611111111111,105
906,422,2026-01-13,4.076388888888888,105
831,422,2026-01-13,4.079166666666667,105
735,422,2026-01-13,4.081944444444444,105
744,422,2026-01-13,4.084722222222222,105
687,422,2026-01-13,4.0874999999999995,105
720,422,2026-01-13,4.090277777777778,105
879,422,2026-01-13,4.093055555555555,105
850,422,2026-01-13,4.095833333333333,105
870,422,2026-01-13,4.0986111111111105,105
930,421,2026-01-13,4.101388888888889,105
911,421,2026-01-13,4.104166666666666,105
900,421,2026-01-13,4.106944444444444,105
840,421,2026-01-13,4.109722222222222,105
732,421,2026-01-13,4.1125,105
767,421,2026-01-13,4.115277777777777,105
851,421,2026-01-13,4.118055555555555,105
934,421,2026-01-13,4.120833333333333,105
930,421,2026-01-13,4.123611111111111,105
843,422,2026-01-13,4.126388888888888,105
830,422,2026-01-13,4.129166666666666,105
822,421,2026-01-13,4.131944444444444,105
778,421,2026-01-13,4.134722222222223,105
875,421,2026-01-13,4.1375,105
885,421,2026-01-13,4.140277777777778,105
863,421,2026-01-13,4.143055555555556,105
874,421,2026-01-13,4.145833333333334,105
894,421,2026-01-13,4.148611111111111,105
941,421,2026-01-13,4.1513888888888895,105
945,421,2026-01-13,4.154166666666667,105
833,421,2026-01-13,4.156944444444445,105
922,421,2026-01-13,4.159722222222222,105
936,421,2026-01-13,4.1625000000000005,105
959,421,2026-01-13,4.165277777777778,105
872,421,2026-01-13,4.168055555555556,105
877,421,2026-01-13,4.170833333333333,105
943,421,2026-01-13,4.173611111111112,105
957,421,2026-01-13,4.176388888888889,105
828,422,2026-01-13,4.179166666666667,105
